sex;age;Medu;Fedu;traveltime;studytime;failures;schoolsup;internet;higher;activities;absences;freetime;goout;Walc;G1;G2;G3
F;18;1;4;3;2;0;no;no;yes;no;0;3;4;4;13;13;13
M;18;1;1;2;2;1;no;no;no;yes;2;4;3;3;13;12;12
F;18;3;3;2;2;0;no;yes;yes;no;0;3;2;3;11;11;10
F;17;4;4;1;2;0;no;yes;yes;yes;0;3;4;1;16;15;15
F;17;1;2;2;2;0;no;no;yes;no;0;2;2;2;12;11;12
M;18;1;3;2;2;0;no;no;yes;no;4;3;4;4;10;10;10
M;18;4;4;2;3;0;no;yes;yes;no;0;2;2;2;13;13;13
F;17;1;1;3;1;1;no;yes;yes;no;0;2;1;2;7;6;0
F;18;2;3;2;1;0;no;yes;yes;no;0;2;3;2;11;10;10
F;18;4;4;3;2;0;no;yes;yes;no;10;2;2;2;14;12;11
F;19;3;2;2;2;2;no;no;yes;yes;4;2;2;1;7;7;9
M;18;1;2;3;1;0;no;yes;no;yes;3;3;3;3;14;12;12
F;17;2;2;1;3;0;no;no;yes;yes;8;4;3;1;13;11;11
F;17;1;2;1;1;0;no;yes;yes;yes;14;5;5;3;6;5;5
F;18;4;4;2;3;0;no;yes;yes;no;0;4;4;1;19;18;19
F;18;1;1;4;3;0;no;yes;yes;no;2;3;2;2;8;8;10
F;20;4;2;2;3;2;no;yes;yes;no;4;4;3;1;15;14;15
F;18;4;4;1;2;0;no;yes;yes;yes;4;4;3;4;8;9;10
F;18;3;3;1;2;0;no;yes;yes;no;0;1;3;2;15;15;15
F;17;3;1;1;2;0;no;yes;yes;yes;17;5;4;3;10;10;10
M;18;4;4;1;2;0;no;yes;yes;yes;4;2;4;4;15;14;14
M;18;2;1;2;1;0;no;yes;yes;yes;5;4;3;3;7;6;7
M;17;2;3;2;2;0;no;yes;yes;yes;2;4;3;1;11;11;10
M;19;1;1;2;1;1;no;no;yes;no;0;3;2;3;6;5;0
M;18;4;2;2;1;1;no;no;yes;no;14;4;3;3;6;5;5
F;18;2;2;2;3;0;no;no;yes;no;2;3;3;3;10;9;10
F;18;4;4;3;1;0;no;yes;yes;yes;7;4;3;2;6;5;6
F;19;2;3;1;3;1;no;yes;yes;yes;0;4;2;2;7;5;0
F;18;3;1;1;2;0;no;yes;yes;no;0;3;4;1;7;9;8
F;18;1;1;2;2;1;no;no;yes;yes;0;1;1;1;6;5;0
M;20;2;2;1;2;2;no;no;yes;no;11;5;4;5;9;9;9
M;17;3;1;2;1;0;no;yes;yes;no;3;4;5;4;14;16;16
M;21;1;1;1;1;3;no;no;yes;no;3;5;3;3;10;8;7
M;18;3;2;3;1;0;no;yes;yes;no;0;4;1;4;11;12;10
M;19;1;1;1;1;0;no;yes;yes;no;5;2;3;3;8;9;9
